product_id,product_name,price,category
1,고급 면 소재 셔츠,39700,식품
2,가죽 소재 남성용 지갑,388400,가전
3,고해상도 4K TV,160700,의류
4,무선 이어폰 블루투스 5.0,237000,식품
5,100% 순면 여성용 티셔츠,316400,의류
6,고성능 게이밍 노트북,361700,스포츠
7,프리미엄 원두 커피,424800,가전
8,다기능 스마트 워치,139300,가전
9,유기농 딸기잼,49600,도서
10,초경량 알루미늄 자전거,88900,의류
11,아동용 목재 장난감,142500,도서
12,고급 린넨 소재 드레스,482800,스포츠
13,스테인리스 스틸 식기세트,196700,식품
14,손목시계 남성용,46900,식품
15,여성용 가방 핸드백,428300,의류
16,강력한 진공청소기,64200,식품
17,고화질 디지털 카메라,206200,가전
18,블루투스 스피커,177000,가전
19,편안한 면 소재 수면잠옷,32300,가전
20,다용도 수납함,316500,식품
21,스포츠웨어 운동복,414600,도서
22,고급 와인,254600,식품
23,책상용 LED 스탠드,11000,도서
24,주방용 칼 세트,149900,가전
25,여성용 구두 힐,370900,도서
26,남성용 정장,157900,식품
27,키보드 마우스 세트,358800,도서
28,태블릿 PC,333700,스포츠
29,스마트폰 케이스,263400,스포츠
30,프리미엄 헤드폰,197800,의류
31,고급 향수,449600,가전
32,유아용 기저귀,380500,스포츠
33,아기용 젖병,482000,스포츠
34,영양제 건강식품,132700,스포츠
35,피부 관리 화장품 세트,479100,의류
36,머리 손질 헤어 제품,19100,가전
37,남성용 면도기,494400,식품
38,여성용 속옷 세트,275200,식품
39,운동화 신발,76400,의류
40,등산용 배낭,452800,가전
41,텐트 야외 캠핑 용품,496200,가전
42,피크닉 매트,266600,식품
43,여행용 가방 캐리어,219600,식품
44,전자레인지,128500,가전
45,냉장고,16500,의류
46,세탁기,120600,가전
47,건조기,91400,의류
48,에어컨,420100,스포츠
49,정수기,165200,도서
50,커피머신,129700,가전
51,토스터,163300,도서
52,믹서기,148200,스포츠
53,블렌더,219000,스포츠
54,전기밥솥,318900,식품
55,냄비 세트,420200,의류
56,후라이팬 세트,473000,도서
57,식기 건조대,179200,의류
58,주방 수납장,298400,식품
59,원목 책상,431400,가전
60,의자,392300,가전
61,소파,195100,스포츠
62,침대,100400,스포츠
63,책장,80100,의류
64,서랍장,356500,도서
65,옷장,97300,스포츠
66,거울,232100,스포츠
67,시계,253700,가전
68,액자,135000,스포츠
69,화분,389800,식품
70,조명,182200,가전
71,커튼,427100,의류
72,카펫,432600,가전
73,베개,57300,가전
74,이불,272300,스포츠
75,수건,453200,의류
76,담요,369800,의류
77,쿠션,43200,의류
78,인형,115400,도서
79,장식품,33200,의류
80,캔들,30600,식품
81,디퓨저,321600,스포츠
82,포스터,439900,의류
83,사진,213300,스포츠
84,그림,148000,도서
85,조각상,384100,식품
86,공예품,461300,스포츠
87,도자기,181300,의류
88,유리컵,346800,가전
89,머그컵,450900,스포츠
90,접시,241800,식품
91,수저,86100,스포츠
92,포크,82900,식품
93,나이프,316900,의류
94,스푼,341800,식품
95,티스푼,291200,스포츠
96,찻잔,488100,의류
97,커피잔,473400,가전
98,와인잔,169700,가전
99,샴페인잔,123100,도서
100,맥주잔,98200,도서
